Operation,Machine,Coach Variant,Start Time,End Time,Input,Output,Coach Variant Manufactured
Stage II Robotic Endwall Welding Station,EW0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 18:55:00,2022-04-23 22:45:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWSCZAC (2nd Class AC Chair Car),2022-04-23 19:00:00,2022-04-23 22:45:00,"['C', 'D']",['E'],0
Stage III Manual Repair stand,EW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 22:45:00,2022-04-23 22:47:00,['Output LHB END Wall'],['End wall Complete'],0
Stage III Roof Robotic Welding Station,RF0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 19:30:00,2022-04-23 23:00:00,['C'],['C'],0
Stage II Manual JIG 9.2,RF0120,LWSCZAC (2nd Class AC Chair Car),2022-04-23 20:00:00,2022-04-23 23:30:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWSCZAC (2nd Class AC Chair Car),2022-04-23 18:00:00,2022-04-24 00:00:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWSCZAC (2nd Class AC Chair Car),2022-04-23 20:00:00,2022-04-24 00:25:00,['Underframe frame work'],['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWSCZAC (2nd Class AC Chair Car),2022-04-23 22:45:00,2022-04-24 00:50:00,['E'],['Roof Complete'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 21:45:00,2022-04-24 01:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWSCZAC (2nd Class AC Chair Car),2022-04-24 01:15:00,2022-04-24 01:16:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWSCZAC (2nd Class AC Chair Car),2022-04-23 19:00:00,2022-04-24 01:20:00,['Supporting Members'],['Supporting Members'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWSCZAC (2nd Class AC Chair Car),2022-04-23 20:50:00,2022-04-24 01:40:00,['Underframe frame work'],['Underframe frame work'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 00:00:00,2022-04-24 02:25:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWSCZAC (2nd Class AC Chair Car),2022-04-23 23:00:00,2022-04-24 02:45:00,"['C', 'D']",['E'],0
Stage III Roof Robotic Welding Station,RF0130,LWSCZAC (2nd Class AC Chair Car),2022-04-23 23:30:00,2022-04-24 03:00:00,['C'],['C'],0
Stage-VI Backpiece Leftover welding,SW0160,LWFCZAC (Executive Class AC Chair Car),2022-04-24 00:00:00,2022-04-24 03:00:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 00:00:00,2022-04-24 03:05:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 00:00:00,2022-04-24 03:10:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWSCZAC (2nd Class AC Chair Car),2022-04-23 21:45:00,2022-04-24 03:30:00,['Underframe frame work'],['Underframe frame work'],0
Stage I Machine- B&C machine,RF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 00:00:00,2022-04-24 04:00:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWSCZAC (2nd Class AC Chair Car),2022-04-23 22:16:00,2022-04-24 04:16:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWSCZAC (2nd Class AC Chair Car),2022-04-24 00:25:00,2022-04-24 04:50:00,['Underframe frame work'],['Underframe frame work'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 02:25:00,2022-04-24 04:50:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWSCZAC (2nd Class AC Chair Car),2022-04-24 02:45:00,2022-04-24 04:50:00,['E'],['Roof Complete'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWSCZAC (2nd Class AC Chair Car),2022-04-23 21:45:00,2022-04-24 05:00:00,['Trough Sheets'],['Trough Sheets'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWSCZAC (2nd Class AC Chair Car),2022-04-23 21:45:00,2022-04-24 05:40:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWSCZAC (2nd Class AC Chair Car),2022-04-24 00:00:00,2022-04-24 06:00:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage-VI Backpiece Leftover welding,SW0160,LWFCZAC (Executive Class AC Chair Car),2022-04-24 03:00:00,2022-04-24 06:00:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 03:05:00,2022-04-24 06:10:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 03:10:00,2022-04-24 06:20:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWSCZAC (2nd Class AC Chair Car),2022-04-24 01:40:00,2022-04-24 06:30:00,['Underframe frame work'],['Underframe frame work'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,LWFCZAC (Executive Class AC Chair Car),2022-04-24 02:25:00,2022-04-24 06:30:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWSCZAC (2nd Class AC Chair Car),2022-04-24 03:00:00,2022-04-24 06:45:00,"['C', 'D']",['E'],0
Stage-II Robotic Spot Welding,SW0120,LWFCZAC (Executive Class AC Chair Car),2022-04-24 03:10:00,2022-04-24 06:45:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage II Robotic Endwall Welding Station,EW0120,LWFCZAC (Executive Class AC Chair Car),2022-04-24 03:05:00,2022-04-24 06:55:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWFCZAC (Executive Class AC Chair Car),2022-04-24 06:55:00,2022-04-24 06:57:00,['Output LHB END Wall'],['End wall Complete'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 04:50:00,2022-04-24 07:15:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWSCZAC (2nd Class AC Chair Car),2022-04-24 01:20:00,2022-04-24 07:40:00,['Supporting Members'],['Supporting Members'],0
Stage II Manual JIG 9.2,RF0120,LWFCZAC (Executive Class AC Chair Car),2022-04-24 04:00:00,2022-04-24 07:45:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage I Machine- B&C machine,RF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 04:00:00,2022-04-24 08:00:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWSCZAC (2nd Class AC Chair Car),2022-04-24 06:45:00,2022-04-24 08:50:00,['E'],['Roof Complete'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0220,LWFCZAC (Executive Class AC Chair Car),2022-04-24 04:50:00,2022-04-24 08:55:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-VI Backpiece Leftover welding,SW0160,LWFCZAC (Executive Class AC Chair Car),2022-04-24 06:00:00,2022-04-24 09:00:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWSCZAC (2nd Class AC Chair Car),2022-04-24 03:30:00,2022-04-24 09:15:00,['Underframe frame work'],['Underframe frame work'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 06:10:00,2022-04-24 09:15:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 06:20:00,2022-04-24 09:30:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
"Stage I Fab:Bat Box SubAssy, Pump Mt Brkt, Elec RBC channel & other cross member SubAssys",UF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 07:15:00,2022-04-24 09:40:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']","['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWSCZAC (2nd Class AC Chair Car),2022-04-24 04:16:00,2022-04-24 10:16:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage VIII Robotic Corrugated sheet seam welding done,UF0620,LWSCZAC (2nd Class AC Chair Car),2022-04-24 05:40:00,2022-04-24 10:20:00,['Underframe frame work with corrugated sheet'],['Underframe frame work with corrugated sheet'],0
Stage-II Robotic Spot Welding,SW0120,LWFCZAC (Executive Class AC Chair Car),2022-04-24 06:45:00,2022-04-24 10:20:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWFCZAC (Executive Class AC Chair Car),2022-04-24 06:45:00,2022-04-24 10:30:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWFCZAC (Executive Class AC Chair Car),2022-04-24 10:30:00,2022-04-24 10:31:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWFCZAC (Executive Class AC Chair Car),2022-04-24 06:30:00,2022-04-24 10:40:00,['Underframe frame work'],['Underframe frame work'],0
Stage II Robotic Endwall Welding Station,EW0120,LWFCZAC (Executive Class AC Chair Car),2022-04-24 06:55:00,2022-04-24 10:45:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWFCZAC (Executive Class AC Chair Car),2022-04-24 10:45:00,2022-04-24 10:47:00,['Output LHB END Wall'],['End wall Complete'],0
Stage III Roof Robotic Welding Station,RF0130,LWFCZAC (Executive Class AC Chair Car),2022-04-24 07:45:00,2022-04-24 10:50:00,['C'],['C'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWSCZAC (2nd Class AC Chair Car),2022-04-24 06:30:00,2022-04-24 11:20:00,['Underframe frame work'],['Underframe frame work'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0210,LWFCZAC (Executive Class AC Chair Car),2022-04-24 07:15:00,2022-04-24 11:20:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage II Manual JIG 9.2,RF0120,LWFCZAC (Executive Class AC Chair Car),2022-04-24 08:00:00,2022-04-24 11:45:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage X  Manual Welding of Backpieces at Bottom side of underframe,UF0810,LWFCZAC (Executive Class AC Chair Car),2022-04-24 06:00:00,2022-04-24 12:00:00,['Underframe Welding Parts'],['Underframe Welding Parts'],0
Stage I Machine- B&C machine,RF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 08:00:00,2022-04-24 12:00:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-VI Backpiece Leftover welding,SW0160,LWFCZAC (Executive Class AC Chair Car),2022-04-24 09:00:00,2022-04-24 12:00:00,['Welding Parts Side wall LHS'],['Welding Parts Side wall LHS'],0
Stage VI Corrugated Sheets Tack welded  to Underframe frame work,UF0500,LWSCZAC (2nd Class AC Chair Car),2022-04-24 05:00:00,2022-04-24 12:15:00,['Trough Sheets'],['Trough Sheets'],0
"Stage I Fabrication of Sub assemblies at Tacking Jigs & Fixtures , Framework tacking of Endwall Complete",EW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 09:15:00,2022-04-24 12:20:00,"['ARCH COMPLETE', 'ARCH COMPLETE', 'SILL COMPLETE', 'RAM PILLAR COMPLETE', 'RAM PILLAR COMPLETE', 'RAM FLANGE COMPLETE', 'FRAME WORK END WALL', 'End wall sheets']",['Output LHB END Wall'],0
Stage-I SW Skeleton Tack Welding,SW0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 09:30:00,2022-04-24 12:40:00,"['SIDE WALL SHEET', 'SIDE WALL FRAME WORK LHS']",['LHB Side Wall LHS'],0
Stage VII Robotic Corrugated sheet stitch welding done,UF0610,LWSCZAC (2nd Class AC Chair Car),2022-04-24 05:40:00,2022-04-24 13:35:00,"['Trough Sheets', 'Underframe frame work']",['Underframe frame work with corrugated sheet'],0
"Stage II Framing, fitment & welding with BO front Part  of Underframe middle parts",UF0220,LWFCZAC (Executive Class AC Chair Car),2022-04-24 09:40:00,2022-04-24 13:45:00,"['Provisions for 450L water Tank', 'Member complete', 'Crossmember complete', 'Bracket complete', 'BRACKET COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'CROSS MEMBER COMPLETE', 'Crossmember complete', 'Crossmember complete', 'Crossmember complete']",['Underframe frame work'],0
Stage-II Robotic Spot Welding,SW0120,LWFCZAC (Executive Class AC Chair Car),2022-04-24 10:20:00,2022-04-24 13:55:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage XI Supporting members are welded at Topside of underframe,UF0820,LWFCZAC (Executive Class AC Chair Car),2022-04-24 07:40:00,2022-04-24 14:15:00,['Supporting Members'],['Supporting Members'],0
Stage-III SW skeletion Robotic Mig Welding,SW0130,LWFCZAC (Executive Class AC Chair Car),2022-04-24 10:30:00,2022-04-24 14:15:00,['LHB Side Wall LHS'],['LHB Side Wall LHS'],0
Stage-IV Roof Bearer Robotic Arc Spot welding,SW0140,LWFCZAC (Executive Class AC Chair Car),2022-04-24 14:15:00,2022-04-24 14:16:00,"['CARLINE', 'LHB Side Wall LHS']",['E'],0
Stage IV Roof Acceptance Stand and left over Welding station(13.0),RF0140,LWFCZAC (Executive Class AC Chair Car),2022-04-24 10:50:00,2022-04-24 14:20:00,"['C', 'D']",['E'],0
Stage II Robotic Endwall Welding Station,EW0120,LWFCZAC (Executive Class AC Chair Car),2022-04-24 10:45:00,2022-04-24 14:35:00,['Output LHB END Wall'],['Output LHB END Wall'],0
Stage III Manual Repair stand,EW0130,LWFCZAC (Executive Class AC Chair Car),2022-04-24 14:35:00,2022-04-24 14:37:00,['Output LHB END Wall'],['End wall Complete'],0
Stage III Robotic Welding upside of Underframe,UF0310,LWFCZAC (Executive Class AC Chair Car),2022-04-24 10:40:00,2022-04-24 14:50:00,['Underframe frame work'],['Underframe frame work'],0
Stage III Roof Robotic Welding Station,RF0130,LWFCZAC (Executive Class AC Chair Car),2022-04-24 11:45:00,2022-04-24 14:50:00,['C'],['C'],0
Stage V Repair & leftover work by manual welding Top Side,UF0400,LWSCZAC (2nd Class AC Chair Car),2022-04-24 09:15:00,2022-04-24 15:00:00,['Underframe frame work'],['Underframe frame work'],0
Stage II Manual JIG 9.2,RF0120,LWFCZAC (Executive Class AC Chair Car),2022-04-24 12:00:00,2022-04-24 15:45:00,"['input for final roof arch complete', 'Roof sheeting complete']",['C'],0
Stage I Machine- B&C machine,RF0110,LWFCZAC (Executive Class AC Chair Car),2022-04-24 12:00:00,2022-04-24 16:00:00,['Roof sheeting complete'],['Roof sheeting complete'],0
Stage-V SW & Roof Bearer Robotic welding,SW0150,LWSCZAC (2nd Class AC Chair Car),2022-04-24 10:16:00,2022-04-24 16:16:00,"['E', 'Welding Parts Side wall LHS']",['Side wall Left complete'],0
Stage IV  Robotic Welding downside of Underframe,UF0320,LWFCZAC (Executive Class AC Chair Car),2022-04-24 11:20:00,2022-04-24 16:25:00,['Underframe frame work'],['Underframe frame work'],0
Stage V Roof Acceptance Stand and left over Welding station(11.0),RF0150,LWFCZAC (Executive Class AC Chair Car),2022-04-24 14:20:00,2022-04-24 16:25:00,['E'],['Roof Complete'],0
